Size,PhaseName,MetricName,Sequence,MetricValue,Scenario,CaseName,RunIndex,Tool,Iteration
1,ReCheck,Time,8,226288700,User,PosLength,1,Neo4j,2
1,LHS,Time,9,9781222,User,PosLength,1,Neo4j,3
1,RHS,Time,10,2954984,User,PosLength,1,Neo4j,3
1,ReCheck,Time,11,107699058,User,PosLength,1,Neo4j,3
1,LHS,Time,12,19448340,User,PosLength,1,Neo4j,4
1,RHS,Time,13,14088443,User,PosLength,1,Neo4j,4
1,ReCheck,Time,14,359661281,User,PosLength,1,Neo4j,4
1,LHS,Time,15,30514529,User,PosLength,1,Neo4j,5
1,RHS,Time,16,9526353,User,PosLength,1,Neo4j,5
1,ReCheck,Time,17,115750580,User,PosLength,1,Neo4j,5
1,LHS,Time,18,24200996,User,PosLength,1,Neo4j,6
1,RHS,Time,19,5981224,User,PosLength,1,Neo4j,6
1,ReCheck,Time,20,104728913,User,PosLength,1,Neo4j,6
1,LHS,Time,21,22763323,User,PosLength,1,Neo4j,7
1,RHS,Time,22,5385183,User,PosLength,1,Neo4j,7
1,ReCheck,Time,23,80188158,User,PosLength,1,Neo4j,7
1,LHS,Time,24,2742967,User,PosLength,1,Neo4j,8
1,RHS,Time,25,19268403,User,PosLength,1,Neo4j,8
1,ReCheck,Time,26,53626202,User,PosLength,1,Neo4j,8
1,LHS,Time,27,2652705,User,PosLength,1,Neo4j,9
1,RHS,Time,28,15784999,User,PosLength,1,Neo4j,9
1,ReCheck,Time,29,68540680,User,PosLength,1,Neo4j,9
1,LHS,Time,30,2374925,User,PosLength,1,Neo4j,10
1,RHS,Time,31,10542857,User,PosLength,1,Neo4j,10
1,ReCheck,Time,32,39974070,User,PosLength,1,Neo4j,10
2,Read,Time,1,1506833169,Batch,ConnectedSegments,1,MySQL,1
2,Check,Time,2,153078545584,Batch,ConnectedSegments,1,MySQL,1
1,Read,Time,1,1028928549,Batch,ConnectedSegments,1,MySQL,1
1,Check,Time,2,10991178,Batch,ConnectedSegments,1,MySQL,1
1,Read,Time,1,1143786881,Batch,RouteSensor,1,Sesame,1
1,Check,Time,2,239124103,Batch,RouteSensor,1,Sesame,1
